NAMC_CODE,NAMC_term,NAMC _term_diacritical,Matched_IndexTerm,short_definition,long_definition,TM2 Code,Similarity_Score
EF-2.2.12,LAVANAMEHAH,lavaṇamēhaḥ,(a) lavaṇamehaḥ,pramēha characterized by urine having appearance like that of lavaṇāṁbu (salt solution) ,the disorder is characterized by lavaṇa tulya mūtra pravr̥̄tti [salty urine] ,SM8D,76.92307692307692
EF-2.2.13,PISHTAMEHAH,piṣṭamēhaḥ,(a) piṣṭamehaḥ,albunosuria ,"the disorder is characterized by piṣṭarasatulya mūtra pravr̥̄tti [flour white urination], mutraṁ pravr̥ttē hr̥ṣṭarōmatā [bristling while micturition], bahalaṁ mūtra pravr̥̄tti [profuse urination], sita mūtra pravr̥̄tti [whitish urination] ",SM8D,75.0
EF-2.3,PITTAJA-PRAMEHAH,pittaja-pramēhaḥ,(a) pittaja-pramehaḥ,pramēha due to pitta , ,SM8D,83.33333333333334
EF-2.3.1,KSHARAMEHAH,kṣāramēhaḥ,(a) kṣāramehaḥ,ash-coloured urine-pramēha ,"the disorder is characterized by kṣāra tōyavata [resembles kṣāra/alkaline water], kṣāratulyagandha mūtra pravr̥̄tti [odour resemble kṣāra], kṣāratulyarasa mūtra pravr̥̄tti [taste resemble kṣāra], kṣāratulyavarṇa mūtra pravr̥̄tti [colour resemble kṣāra], kṣāratulyasparśa mūtra pravr̥̄tti [touch resemble kṣāra], srutakṣārapratimaṁ mūtra pravr̥̄tti [elimination of urine resembling kṣāra] ",SM8D,75.0
EF-2.3.3,NILAMEHAH,nīlamēhaḥ,(a) nīlamehaḥ,indicanuria ,"the disorder is characterized by nīlābhaṁ mūtra pravr̥̄tti [passes bluish urine], saphēna mūtra pravr̥̄tti [frothy micturition], acch mūtra pravr̥̄tti [transperent], cāṣapakṣanibha mūtra pravr̥̄tti [kingfisher coloured], amla mūtra pravr̥̄tti [sour taste] ",SM8D,72.72727272727273
EF-2.3.5,MANJISHTHAMEHAH,mañjiṣṭhāmēhaḥ,(a) mañjiṣṭhāmehaḥ,haemoglobinuria ,"the disorder is characterized by mañjiṣṭhōdakasaṁkāśa/mañjiṣṭha salilōpamamūtra pravr̥̄tti [passes urine like the decoction of mañjiṣṭha], bhr̥śamūtra pravr̥̄tti [profuse urination], visra mūtra pravr̥̄tti [urine posses smell like raw flesh] ",SM8D,81.25
EF-2.3.6,HARIDRAMEHAH,hāridramēhaḥ,(a) hāridramehaḥ,bilirubinuria ,"the disorder is characterized by kaṭukamūtra pravr̥̄tti [passes acrid urine], haridrōdakasaṁkāśa mūtra pravr̥̄tti/haridrābha mūtra pravr̥̄tti [passes turmeric coloured urine], sadāha mūtrapravr̥tti [burning micturition] ",SM8D,78.57142857142857
EF-2.3.7,AMLAMEHAH,amlamēhaḥ,(a) amlamehaḥ,sour-pramēha ,"the disorder is characterized by amlagandha mūtra pravr̥̄tti [sour smell], amlarasa mūtra pravr̥̄tti [sour taste] ",SM8D,72.72727272727273
EF-2.4,VATAJAPRAMEHAH,vātajapramēhaḥ,(a) vātajapramehaḥ,pramēha due to vāta , ,SM8D,81.25
EF-2.4.1,VASAMEHAH,vasāmēhaḥ,(a) vasāmehaḥ,urine resembling marrow ,"the disorder is characterized by muhuḥmutrapravr̥tti [passes urine again and again], vasābha mūtra pravr̥̄tti/vasā prakāśaṁ [passes urine having a fatty appearance], vasamiśra mūtra pravr̥̄tti [passes fat mixed urine] ",SM8D,72.72727272727273
EF-2.4.2,MAJJAMEHAH,majjāmēhaḥ,(a) majjāmehaḥ,urine resembling bone marrow ,"the disorder is characterized by majjāmiśra mūtra pravr̥̄tti [passes urine mixed with bone marrow], majjābhamūtra pravr̥̄tti [passes urine appearing like bone marrow], mūtrāṇāṁ saha majjānaṁ pravr̥̄tti/ muhuḥ mu094ḍ;huḥ [passes urine again and again] ",SM8D,75.0
EF-2.4.3,HASTIMEHAH,hastimēhaḥ,(a) hastimehaḥ,pramēha characterized by excess and profuse urination akin to an elephant passing urine ,"the disorder is characterized by mattahasti iva ajasra mūtra pravr̥̄tti/matta mātaṅagavat mūtra pravr̥̄tti [passes urine like an unrestrained elephant in rut], vibaddhamūtra pravr̥̄tti/anuprabandhaṁ mūtra pravr̥̄tti [keeps on dribbling obstructed urine], vēgavivarjitamūtra pravr̥̄tti [passes urine without any force], salasīkāmūtra pravr̥̄tti [passes urine mixed with lymph] ",SM8D,75.0
EF-2.4.5,SARPIRMEHAH,sarpirmēhaḥ,(a) sarpirmehaḥ,urine resembling ghee ,the disorder is characterized by sarpi prakāśa mūtra pravr̥̄tti [resembles ghee] ,SM8D,76.92307692307692
EF-2.5,PRAMEHA-PIDAKA,pramēha-piḍakā,(a) prameha-piḍakā,carbuncles , ,SN92,81.25
EF-4,PRAMEHETARA-PIDAKA,pramēhētara-piḍakā,(a) prameha-piḍakā,non-diabetic piḍakā , ,SN92,72.22222222222221
EF-5,SVEDAVAHA-SROTODUSHTI,svēdavaha-srōtōduṣṭi,(a) svedavahasrotoduṣṭiḥ,derangement of svēadavahasrōtas , ,SR5C,72.72727272727273
EG-1,ASTHIVAHASROTADUSHTIH,asthivahasrōtaduṣṭiḥ,(a) asthivahasrotoduṣṭiḥ,derangement of asthivahasrōtas , ,SR54,81.81818181818181
EH-1,MAJJAVAHA-SROTODUSHTIH,majjāvaha-srōtōduṣṭiḥ,(a) majjāvahasrotoduṣṭiḥ,derangement of majjāvahasrōtas , ,SR55,80.0
EI-1,SUKRAVAHASROTODUSHTIH,śukravahasrōtōduṣṭiḥ,(a) śukravahasrotoduṣṭiḥ,derangement of śukravahasrōtas ,"the disorder is characterized by klībatā [inability to perform sexual act/impotence], aharṣaṇam [lack of sexual arousal], rōgī apatyaḥ prajāyatē [birth of diseased offspring/progeny], klībāpatyaḥ prajāyatē [birth of impotent offspring], alpāyurapatyaḥ prajāyatē [birth of offspring with reduced lifespan], virūpāpatyaḥ prajāyatē [birth of offspring with deformities], garbhaḥ na jāyatē [infertility], garbhaḥ patati [abortion], garbhaḥ prasravati [miscarriage], cirāt prasēkaḥ [delayed ejaculation], rakta śukratā [blood tinged semen], aprasēkaḥ [no semen on ejaculation] ",SR56,81.81818181818181
EI-2,KLAIBYAM,klaibyam,(a) klaibyam (b) Vīriyamiṉmai (c) Istirkhā’ al-Qaḍīb,male sterility ,"the disorder is characterized by liṁgaśaithilyam (saṁkalpapravāṇaḥ api san striyaṁ na yāti) [inablitity to indulge in sexual act inspite of having desire due to erectile dysfunction], śvāsārtaḥ [tachypnoea], svinnagātraḥ [sweating all over the body], mōghasaṁkalpaḥ [futility of sexual desires], mōghacēṣṭitaḥ [futility of sexual act], mlānaśiśnaḥ [flaccid state of penis], nirbījaḥ [no sperms in semen/azoospermia] ",SN02,90.0
EI-2.7.3,KUMBIKAH,kumbhīkaḥ,(a) kumbhīkā (b) Viraṇap Paru (c) Sal‘a al-Ajfān,sodomite ,the disorder is characterized by svē gudēऽbrahmacaryādyaḥ strīṣu puṁvat pravartatē [capable of normal sexual intercourse only after anal stimulation by intercourse with another man] ,SK69,70.41176470588235
EI-3.5,ANYADHATUPAHITA-RETAS,anyadhātūpahita-rētas,nan,semen mixed with other dhātu ,"the disorder is characterized by rudhirānvitam śukraṁ pravartatē [semen gets ejaculated generally in association with blood], [] ",nan,72.0
EI-3.9,PITTAKAPADUSHTA-RETAS,pittakaphaduṣṭa-rētas,pittakṣayaḥ,semen vitiated by pitta and kapha ,the disorder is characterized by pūtipūyanibhaṁ rētasaḥ [semen resembling putrid pus] ,SR19,70.00000000000001
EI-4,SUKAROGAH,śūkarōgaḥ,(a) śūkarogaḥ,adhering of prepuce to the glance pennies , ,SN00,72.72727272727273
EI-4.1,AVAMANTHAH,avamanthaḥ,(a) hatādhimanthaḥ (c) Sill al-‘Ayn,depressed-śūkarōga ,"the disorder is characterized by dīrghāḥ piḍakāḥ [boils are appears like large in size], bahu piḍakāḥ [multiple boils], madhyataḥ dīryantē [cracked in the centere of boil], vēdanākr̥t/vēdanāvān [painful], rōmaharṣakr̥t/rōmaharṣavān [causing hyperesthesia/horripilation] ",SK6X,70.41176470588235
EI-4.4,UTTAMA,uttamā,(b) Cutta malaṭu,blackgramm like eruptions-śūkarōga ,"the disorder is characterized by māṣōpamā-piḍakā [lesion similar to māṣa], mudgōpamā- piḍakā [lesion similar to mudga], raktā-piḍakā [reddish coloured eruptions] ",SM94,75.00000000000001
EI-4.5,KUMBIKA,kumbhikā,(a) kumbhīkā (b) Viraṇap Paru (c) Sal‘a al-Ajfān,Indian black plum seed like-śūkarōga ,"the disorder is characterized by jāmbavāsthinibhā-piḍakā [lesion resemble seed of jambu], āśujā-piḍakā [quick spreading] ",SK69,78.75
EI-4.6,GRATHITAH,grathitaḥ,(a) kṛmigranthiḥ,knotted-śūkarōga ,"the disorder is characterized by graṁthita-piḍakā [knotty piḍaka], śūkaiḥ iva āpūrṇaṁ liṅgam [filled with awn of barley] ",SK62,74.11764705882352
EI-4.8,TVAKPAKAH,tvakpākaḥ,(a) karṇapākaḥ,posthitis ,"the disorder is characterized by jvaravān/jvarakr̥t [fever], dāhavān/dāhakr̥t [burning sensation] ",SK88,72.0
EI-4.11,MAMSARBUDAH,māṁsārbudaḥ,(a) vartmārbudaḥ (b) Tacai kaẕalai (c) Uqda al-‘Ayn,penile tumour ,"the disorder is characterized by avēdana-śōphaḥ [painless swelling], snigdha-śōphaḥ [unctuous swelling], ananyavarṇa-śōphaḥ [swelling of the same colour], apāka-śōphaḥ [non suppurating], aśmōpamam apracālyam [stone like fixed and hard swelling] ",SK6F,71.99999999999999
EI-4.13,VIDRADHIH (SUKAROGAH),vidradhiḥ (śūkarōgaḥ),(a) vidradhiḥ (b) Kaṭṭi (c) Khurāj,penile abcess , ,SP90,85.5
EI-4.16,SARSHAPIKA,sarṣapikā,(a) sarṣapikā (b) Kaṭuku koppuḷam,mustard-erruptions on penis ,"the disorder is characterized by gaurasarṣapatulyā-piḍakā [white mustard seed like boils], sarṣapāmānasaṁsthānā pīḍakā [eruptions having shape and size of white mustard seed], ghanāḥ-piḍakā [thick and firm lesion], tatpramāṇā (sarṣapapramāṇā) pīḍakā [boil of mustard seed] ",SN04,90.0
EI-5,UPADAMSAH,upadaṁśaḥ,(a) upadaṃśaḥ (b) Korukku nōy (c) Sozāk,syphilis ,the disorder is characterized by śōphaḥ/śvayathuḥ (mēḍhraḥ) [swelling in penis] ,SN30,80.0
EI-5.2,PITTAJA-UPADAMSAH,pittaja-upadaṁśaḥ,(a) pittaja-arśaḥ,upadaṁśa due to pitta ,"the disorder is characterized by jvaraḥ [fever], pakvōḍumbarasaṅkāśa śvayathuḥ/pakvōdumbarasaṅkāśa śvayathuḥ [swelling resemble ripe udumbara/fig fruit], tīvradāhaḥ [severe burning sensation], kṣiprapākaḥ [quick suppuration], pittavēdanā [pain of pitta type - ōśa, cōṣa etc.], bahuklēdaḥ [excessive moistness/soddening], sadāhaḥ [associated with burning sensation] ",SM53,70.58823529411764
EI-5.3,KAPAJA-UPADAMSAH,kaphaja-upadaṁśaḥ,(a) kaphaja-arśaḥ,upadaṁśa due to kapha ,"the disorder is characterized by kaṇḍūmān śvayathuḥ/sakaṇḍūḥ [swelling with itching], kaṭhinaḥśvayathuḥ [hard-swelling], snigdhaḥśvayathuḥ [unctuous swelling], ślēṣmavēdanāḥ [dull aching pain], śītalaḥśvayathuḥ [cold-swelling], guruḥśvayathuḥ [heavy-swelling], mahad-śukla-ghana- sphōṭaḥ [big, white and dense discharge] ",SM53,70.58823529411764
EI-5.4,SANNIPATAJA-UPADAMSAH,sānnipātaja-upadaṁśaḥ,(a) sannipātaja-arśaḥ,upadaṁśa due to three dōṣa ,"the disorder is characterized by sarvaliṅgadarśanam/sarvaliṅgatvam [clinical features of all types of dōṣa], śēphasaḥavadaraṇam/daraṇam [cracking of penile skin], kr̥miprādurbhāvaḥ/kr̥misambhavaḥ [appearance of kr̥mi], muṣkaśvayathuḥ [scrotal oedema], tīvrā ruk [severe pain], āśupacanam [undergoes quick suppuration], nānāvidhasrāvaḥ [discharge of various colours], nānāvidharujōpapannam [pain of different types], maraṇaṁ [death] ",SM53,71.42857142857143
EI-5.5,RAKTAJA-UPADAMSAH,raktaja-upadaṁśaḥ,(a) raktaja-arśaḥ,upadaṁśa due to rakta ,"the disorder is characterized by kr̥ṣṇasphōṭaprādurbhāvaḥ/asitasphōṭasambhavaḥ/sakr̥ṣṇa-sphōṭaḥ [black blisters], atyartham asr̥kpravr̥ttiḥ/asrasrutiḥ/rudhira-srāvaḥ [severe bleeding], pittaliṅgāni/pittasamānaliṅgam [features of the pittaja variety], jvaraḥ [fever], dāhaḥ [burning sensation], śōṣaḥ [dryness/wasting/emaciation], piśitāvabhāsaḥ [appears fleshy] ",SM53,70.58823529411764
EI-6,VRUDDHIH,vr̥ddhiḥ,(a) vātavṛddhiḥ,"hernia, hydrocele ","the disorder is characterized by śōphaḥ/śvayathuḥ (mēḍhraḥ) [swelling in penis], pāruṣyam [roughness/dryness] ",SR12,72.0
EI-6.8,ANTRA-VRUDDHIH,antra-vr̥ddhiḥ,(a) antra-vṛddhiḥ (b) Kuṭal vātam (c) Fatq,hernia ,"the disorder is characterized by jvaraḥ [fever], dāhaḥ [burning sensation], śōṣaḥ [dryness/wasting/emaciation], piśitāvabhāsaḥ [appears fleshy], praśīrṇamāṁsaṁ kr̥mibhiḥ prajagdhaṁ muṣkāvaśēṣam [tissue around the male genitalia is very much lost by the invasion of kr̥mi and only testicles are persistent] ",SM3G,77.14285714285715
EJ-1,MUTRAVAHASROTODUSHTIH,mūtravahasrōtōduṣṭiḥ,(a) mūtravahasrotoduṣṭiḥ,derangement of mūtravahasrōtas ,the disorder is characterized by dāhaḥ [burning sensation in penis] ,SR5B,81.81818181818181
EJ-2,ASMARI,aśmarī,(a) kaphaja-aśmarī,lithiasis/urolithiasis/nephrolithiasis ,"the disorder is characterized by mūtramārga-rōdhaḥ/mūtradhārāsaṁgaḥ [obstruction in passage of urine], bastirujā [pain in basti/urinary bladder region], sēvanī-ruk [pain in the perineal raphe], mēhanaśūlam [penile pain], viśīrṇadhāra-mūtrapravr̥ttiḥ [scattering of urinary stream/split stream urination], mēḍhramardanam vēdanārtasya [rubbing of penis due to pain], muhuḥ śakr̥t muṁcati [frequent passing of stools], muhuḥ mēhatē [frequent urination], sāsra-mūtrapravr̥ttiḥ/sarudhiramūtratā [patient passes urine mixed with blood], nābhiruk [pain in the umbilical region], mahatō vēdanā/ atiruk [severe pain], mūtravikiraṇam [split stream urination], gōmēdakaprakāśamūtram [urine resembling gōmēdaka stone /pale yellow], atyāvilamūtram [exceessively turbid urine], sasikataṁ mūtram [gravel in urine], mūrdharuk [headache], tadvyapāyāt sukhaṁ mēhēdaccham [when it gets displaced the patients comfortably passes clear urine] ",SM8C,90.0
EJ-2.2,VATAJA-ASMARI,vātaja-aśmarī,(a) vātaja-aśmarī,aśmarī due to vāta ,"the disorder is characterized by kadambapuṣpākr̥tiḥ [stone resembles flower of kadamba (anthocephalus cadamba)], tripuṭī [tripod like], mūtrapratīghataḥ [obstruction in passage of urine], tīvravēdanā [severe pain], dantān khādati [gnashes-grind one's teeth], nābhiṁ pīḍayati/ nābhi-sparśaḥ(gr̥hṇāti) [squeezesthe umbilical region], mēḍhraṁ pramr̥dnāti/ mēhana-sparśaḥ (gr̥hṇāti) [holds the penis], pāyuṁ spr̥śati [touches anal region], viśardhatē [broken], vidahati [internal burning sensation], vātaṁ kr̥cchrēṇa niḥsaranti [difficulty in passing flatus], mūtraṁ kr̥cchrēṇa niḥsaranti [difficulty in passing urine], purīṣaṁ kr̥cchrēṇa niḥsaranti [difficulty in passing faeces], vātaṁ mahatō niḥsaranti [excessive passage of flatus], mūtraṁ mahatō niḥsaranti [excessive passage of urine], purīṣaṁ mahatō niḥsaranti [excessive passage of faeces], śyāvavarṇāśmarī [blackish stone], paruṣāśmarī [rough stone], viṣamāśmarī [irregular shaped stone], kharāśmarī [rough calculus], kaṇṭakācitāśmarī [stone covered with thorn], bhr̥śaṁ artiḥ [sudden onset of pain], vēpatē (vēpatuḥ) [shivering/tremors], aniśaṁ kvaṇanam [constant /incessantly groaning in agony], sānilaṁ śakr̥t muñcanam (muñcati) [faeces along with flatus gets expelled], binduśaḥ muhuḥ mūtrapravr̥ttiḥ (mēhati) [urine comes out repeatedly in drops] ",SM8C,95.0
EJ-2.3,PITTAJA-ASMARI,pittaja-aśmarī,(a) pittaja-aśmarī,aśmarī due to pitta ,"the disorder is characterized by mūtrapratīghātaḥ [obstruction in passage of urine], ūṣyatē iva bastiḥ [buning sensation in urinary bladder as if near fire], cūṣyatē iva bastiḥ [sucking type of pain in the basti (urinary bladder)], dahyatē iva bastiḥ [burning sensation in the urinary bladder], pacyatē iva bastiḥ [bladder feels as if burnt by alkali], uṣṇavātaḥ [clinical features of the disease uṣṇavāta], saraktāśmarī [blood assocated with stone], pītāvabhāsāśmarī [yellowish stone], kr̥ṣṇāśmarī/asitāśmarī [black coloured calculus], bhallātakāsthipratimāśmarī [calculus is shaped like bhallātakāsthi (seed of marking-nut)], madhuvarṇāśmarī [stone is honey coloured], pacyamāna iva ūṣmavān bastiḥ [burning sensation in the bladder as if being cooked], raktāśmarī [red coloured calculi] ",SM8C,95.0
EJ-2.4,KAPAJA-ASMARI,kaphaja-aśmarī,(a) kaphaja-aśmarī,aśmarī due to kapha ,"the disorder is characterized by mūtrapratīghātaḥ [obstruction in passage of urine], dālyatē iva bastiḥ [disintegrating/cracking sensation in the bladder], bhidyatē iva bastiḥ [penetrating/perforating sensation in the bladder], nistudyata iva bastiḥ [pin prick like sensation in the vesical region], gurubastiḥ [heaviness in the bladder], śītabastiḥ [coldness of bladder], sitāśmarī [stone is white in colour], snigdhāśmarī [stone in unctuous on touch], mahatyaśmarī [stone is large], kukkuṭāṇḍapratīkāśāśmarī [stone resembles chicken egg], madhūkapuṣpavarṇāśmarī [colour of stone resembles madhūkapuṣpa], madhuvarṇāśmarī [stone is honey coloured], ślakṣṇāśmarī [stone is glossy] ",SM8C,95.0
EJ-2.5,SUKRASMARI,śukrāśmarī,(a) śukrāśmarī,aśmarī due to sukra ,"the disorder is characterized by mūtrakr̥cchram/kr̥cchramūtratvam [dysuria], bastivēdanā/bastiruk [pain in basti (urinary bladder)], vr̥ṣaṇayōḥ śvayathuḥ/ muṣka-śvayathuḥ [swelling of the scrotum], pīḍitē vilīyanam/śukramēti vilīyatē [disappears by passage of semen] ",SM8C,95.0
EJ-3,MUTRAGHATAH,mūtrāghātaḥ,(a) mūtrāghātaḥ (b) Nīraṭaippu (c) Ḍu‘f al-Mathāna,urinary retention , ,SM82,90.0
EJ-3.1,MUTRAUKASADAH,mūtraukasādaḥ,(a) mūtraukasādaḥ (c) Bawl Ghalīẓ,dense urine ,"the disorder is characterized by rakta-mūtram [passes urine with blood], pītaṁ mūtram [passes yellow urine], ghanaṁ mūtram [passes urine as viscid], sadāha mūtraṁ [burning sensation while urinating], śvētamūtraṁ [passes whitish urine], sāndraṁ mūtram [passes dense urine], sarvaiḥ lakṣaṇaiḥ yutam mūtram [urine with all the above symptoms], kr̥cchrānmūtrasarjanam [difficult urination], sadāhaṁ mūtram [burning micturition], rōcanāvarṇa-mūtrasrāvaḥ [colour of urine as rōcana (yellow)], śaṅkha-cūrṇavarṇa--mūtrasrāvaḥ [colour of urine as conch shell], śuṣka-mūtrasrāvaḥ [urine on drying], samastavarṇa-mūtrasrāvaḥ [urine may attain any colour] ",SM89,90.0
EJ-3.2,MUTRAJATHARAH,mūtrajaṭharaḥ,(a) mūtrajaṭharaḥ,uro-celioncus ,"the disorder is characterized by pūrayati udaraṁ mūtram [abdomen enlarged due to filled bladder], rujā (udarapūraṇanimittaja) [pain due to fullness of abdomen], apakti [indigestion], mūtrasaṁgaḥ [obstruction/retention in passage of urine], viṭ saṁgaḥ/malasaṁgraham [fecal retention], nābhēradhastādādhmānam (adhōnābhi-ādhmānam ) [abdominal distension below the umbilicus], tīvravēdanam (nābhēradhastād) [severe pain below umbilicus], adhaḥ srōtō nirōdhanam [obstruction to channels of urine, faeces etc (lower channels of the body)], adhōbastinirōdhanam [bladder outlet obstruction] ",SM82,95.0
EJ-3.3,MUTROTSANGAH,mūtrōtsaṅgaḥ,(a) mūtrotsaṅgaḥ,residual urination ,"the disorder is characterized by maṇisandhau kiṁcit mūtraṁ tiṣṭhati [urine obstruction at bulb of penis], paścāt vinā rujaṁ mūtraṁ sravati/nīrujaṁ -mūtrasrāvaḥ [later painless micturition], paścāt sātiruk mūtraṁ sravati/saruja- mūtrasrāvaḥ [later painful micturition], vicchinnaṁ mūtraṁ sravati [split stream urination], ucchēṣaguruśēphaḥ [heaviness in penis], vastau mūtraṁ sajjati [urine remains in bladder], nālē mūtraṁ sajjati [urine remains in penile urethra], maṇau mūtraṁ sajjati [urine remains in bulb of penile urethra], sarakta mūtrapravr̥ttiḥ [urine with blood], pravāhaṇam (mūtrasya) [straining to urinate], śanai mūtraṁ sravēt [on straining dribles slowly in small quantities], alpamalpaṁ mūtraṁ sravēt [scanty, drop by drop urination] ",SM88,78.57142857142857
EJ-3.4,MUTRAKSHAYAH/MUTRASAMKSHAYAH,mūtrakṣayaḥ/mūtrasaṁkṣayaḥ,mūtrakṣayaḥ,oligouria/anuria ,"the disorder is characterized by vātākr̥tiḥ [having the symptoms of vātavr̥ddhiḥ], rūkṣadēhaḥ [dryness of body], klāntadēhaḥ [fatigue], mūtrakṣayama [diminution of urine quantity], ruk/vēdanā [with pain], dāhaḥ [burning sensation], kr̥cchramūtratā [dysuria] ",SR83,90.0
EJ-3.5,MUTRATITAH,mūtrātītaḥ,(a) mūtrātītaḥ,urinary hesistancy ,"the disorder is characterized by mūtraṁ tvarayā na pravartatē [hesitancy in micturition], mūtraṁ mandaṁ pravartatē [weak urine flow], mūtraṁ na abhyēti/mūtraṁ na nirēti [difficulty in passing urine/anuria], mūtraṁ kathaṁcit saṁpravartatē [urine is passed occassionaly], pravāhataḥ mandarujaṁ mūtraṁ pravartatē/alparuk [mild pain during micturition], pravāhataḥ alpamalpaṁ mūtraṁ pravartatē [scanty micturition], pravāhataḥ punaḥ punaḥ mūtraṁ pravartatē [increased frequency of micturition], mūtraṁ vibaddhaṁ pravartatē [difficulty in passing urine] ",SM88,95.0
EJ-3.6,VATASHTHILA,vātāṣṭhīlā,(a) vātāṣṭhīlā (c) Iẓam-i-Ghudda'-i-Madhī,prostatic enlargement ,"the disorder is characterized by bastyādhmānam/basti-ādhmāpayanam [bloating of basti (urinary bladder)], gudādhmānam/guda-ādhmāpayanam [distension in the rectum], vāyu rōdhaḥ/anilasaṁgaḥ [obstructed flatus], calaḥ [mobile], unnatam [elevated], tīvrārtiḥ [severe pain], mūtramārgarōdhaḥ [obstruction in passage of urine], viṇmārgarōdhaḥ [obstruct the passage of faeces], śakr̥nmārgasya bastērantaram [in between bladder and rectum], aṣṭhīlāvat ghanaṁ granthiḥ [stony hard round shaped gland], ādhmānam [abdominal distension], parā bastau vēdanā [pain in the region around basti] ",SN08,90.0
EJ-3.7,VATABASTIH,vātabastiḥ,(a) vātabastiḥ (b) Ciṟunīriṉ māṟutalkaḷ (c) Salas al-Bawl,bladder disease due o vāta ,"the disorder is characterized by mūtrarōdhaḥ/mūtrasaṁgam [obstruction/retention in passage of urine], artiḥ/rujā [pain], kaṇḍūḥ [itching], kukṣinipīḍanam [pain in the abdomen/flanks], bastinipīḍanam [pain in the basti (urinary bladder)] ",SM8B,90.0
EJ-3.8,USHNAVATAH/USHNAMARUTAH,uṣṇavātaḥ/uṣṇamārutaḥ,(a) uṣṇavātaḥ,burning-dysuria ,"the disorder is characterized by mūtraśōṣaḥ [diminution of urine quantity], kr̥cchrāt mūtram sr̥jēt [difficulty in micturition], artiḥ [pain], dāhaḥ [burning sensation], raktamūtrakam [reddish urine], pītamūtrakam [yellowish urine], basti-dāhaḥ [burning sensation in the basti (urinary bladder)], mēḍhra-dāhaḥ [burning sensation in the penile region], guda-dāhaḥ [burning sensation in anus], hāridra-mūtrasrāvaḥ [yellowish discoluration of urine], sarakta-mūtrasrāvaḥ [haematuria], raktamēva-mūtrasrāvaḥ [urine consist of frank blood], kr̥cchrāt mūtrasrāvaḥ [passes urine with difficulty], punaḥ punaḥ mūtrasrāvaḥ [passes urine again and again/frequent micturition] ",SM87,73.63636363636364
EJ-3.9,VATAKUNDALIKA,vātakuṇḍalikā,(a) vātakuṇḍalikā (b) Coṭṭu nīr (c) Taqṭīr al-Bawl,circum-gyratory vāta-bladder disorder ,"the disorder is characterized by aṁgagrauravam/gauravam [heaviness in the body], vēṣṭanam/udvēṣṭanam [feeling as if wrapped/cramps], tīvraruk/tīvravyathā [severe pain], mūtrasaṁgaḥ [obstruction/retention in passage of urine], viṭ saṁgaḥ [fecal retention], saṁstambhaḥ [feels rigidity], alpālpa-mūtra-pravr̥ttiḥ [scanty micturition], saruja-mūtra-pravr̥ttiḥ [passes urine with pain], mūtraṁ āvidhya bhramati [spiralling of urine within basti (urinary bladder)], mūtraṁ śakr̥t sr̥jan vimuṁcati [passage of urine with pain during defecation] ",SM88,90.0
EJ-3.11,MUTRASUKRAH,mūtraśukraḥ,(a) mūtraśukraḥ (b) Veṇṇīr (c) Jarayān,spermaturia ,"the disorder is characterized by mūtrayutaṁ rētaḥ [urine mixed with semen], sahasā saṁpravartatē [sudden manifestation], purastād (prāk) mūtrasya bhasmōdakapratīkāśa-srāvaḥ [], paścāt bhasmōdakapratīkāśa-srāvaḥ [discharge of fluid resembling ash water] ",SN09,90.0
EJ-3.12,VID-VIGHATAH,viḍ-vighātaḥ,(a) viḍ-vighātaḥ,faecal fistula ,"the disorder is characterized by viṭgandhi mūtrasrāvaḥ/viṭtulyagandhi mūtrasrāvaḥ [passes urine of faecal odour], kr̥cchrāt mūtrasrāvaḥ [difficult micturition] ",SM52,95.0
EJ-3.13,BASTIKUNDALAH,bastikuṇḍalaḥ,(a) bastikuṇḍalaḥ,circular bladder distension ,"the disorder is characterized by śūlaḥ [colicky pain in the abdomen], spandanam [pulsating sensation], dāhārtaḥ [burning sensation], bindu-bindu -mūtrasrāvaḥ [passes urine drop by drop], saṁstambhaḥ [feels rigidity], udvēṣṭanārtiḥ [cramp like pain], artiḥ [pain], pīḍitastu sr̥jēddhārāṁ [passess urine after pressing below umbilicus] ",SM82,95.0
EJ-3.13.1,PAITTIKA-BASTIKUNDALAH,paittika-bastikuṇḍalaḥ,(a) bastikuṇḍalaḥ,bastikuṇḍala due to pitta ,"the disorder is characterized by dāhaḥ [burning sensation], śūlaḥ [colicky pain in the abdomen], mūtravivarṇatā [dis colouration of urine] ",SM82,71.7948717948718
EJ-3.13.2,KAPAJABASTIKUNDALAH,kaphajabastikuṇḍalaḥ,(a) bastikuṇḍalaḥ,bastikuṇḍala due to kapha ,"the disorder is characterized by gauravam [heaviness], śōpham [odema], snigdha-mūtram [unctuous urine], ghana-mūtram [urine becomes dense], sita-mūtram [urine becomes white] ",SM82,75.67567567567568
EJ-4,MUTRAKRUCCRAM,mūtrakr̥cchram,(a) mūtrakṛcchram (b) Nīrccurukku (c) ‘Usr al-Bawl,dysuria , ,SM87,77.14285714285715
EK-1,AMBUVAHASROTODUSHTIH/UDAKAVAHASROTODUSHTIH,ambuvahasrōtōduṣṭiḥ/udakavahasrōtōduṣṭiḥ,"(a) ambuvahasrotoduṣṭiḥ, (a) udakavahasrotoduṣṭiḥ",derangement of udakavahasrōtas , ,SR58,78.65168539325843
EK-3.16,SIRASOTHAH,śiraśōthaḥ,(a) sarvasara-śōthaḥ (b) Cōkai (c) Istisqā’ Laḥmī,cellulites , ,SP91,72.0
